ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,LATITUDE,LONGITUDE
T20230008211,2023-04-07,06:20:00,-37.014479,143.754192
T20230008221,2023-04-07,11:00:00,-38.119234,145.331224
T20230008221,2023-04-07,11:00:00,-38.119234,145.331224
T20230008235,2023-04-07,13:37:00,-37.789007,144.835955
T20230010230,2023-04-07,19:00:00,-37.834832,143.807472
T20230008237,2023-04-07,14:40:00,-37.191622,145.709682
T20230008239,2023-04-07,14:00:00,-37.813087,145.379235
T20230008239,2023-04-07,14:00:00,-37.813087,145.379235
T20230008241,2023-04-07,14:08:00,-38.063772,145.488239
T20230008242,2023-04-07,14:40:00,-38.098065,145.283112
T20230008343,2023-04-07,15:47:00,-38.059384,145.26233
T20230008247,2023-04-07,17:20:00,-37.906733,145.000894
T20230010257,2023-04-07,10:00:00,-36.96725,145.778288
T20230009519,2023-04-07,15:00:00,-38.177681,147.126896
T20230008258,2023-04-07,18:10:00,-37.9222,145.087449
T20230008259,2023-04-07,17:53:00,-37.84687,144.891946
T20230008200,2023-04-07,00:20:00,-36.393944,145.41175
T20230008294,2023-04-08,06:00:00,-37.821993,144.962429
T20230008314,2023-04-08,19:50:00,-37.851944,144.722156
T20230008922,2023-04-08,23:18:00,-37.666446,144.946742
T20230008400,2023-04-08,17:40:00,-37.76897,144.995915
T20230009166,2023-04-08,16:00:00,-37.684628,144.885052
T20230008274,2023-04-08,04:20:00,-36.431277,145.370755
T20230008272,2023-04-08,04:57:00,-37.816845,144.953126
T20230008272,2023-04-08,04:57:00,-37.816845,144.953126
T20230008289,2023-04-08,08:20:00,-38.088955,145.504643
T20230008288,2023-04-08,11:40:00,-36.125296,146.858804
T20230008326,2023-04-08,04:00:00,-37.799232,144.986901
T20230010968,2023-04-08,13:20:00,-37.885421,145.09946
T20230008325,2023-04-08,22:40:00,-37.739143,144.804907
T20230008346,2023-04-08,12:30:00,-38.041996,145.265886
T20230008352,2023-04-08,12:01:00,-37.843098,145.147709
T20230008324,2023-04-08,09:15:00,-37.894284,145.018303
T20230013248,2023-04-08,15:00:00,-37.7896,144.970358
T20230008302,2023-04-08,15:30:00,-38.004981,145.273623
T20230008303,2023-04-08,15:25:00,-38.091973,146.308235
T20230008304,2023-04-08,13:10:00,-38.475604,143.218412
T20230008309,2023-04-08,16:44:00,-37.673516,145.381523
T20230008310,2023-04-08,18:25:00,-37.808133,144.960353
T20230012383,2023-04-08,12:00:00,-38.106092,147.065511
T20230008297,2023-04-08,11:50:00,-37.173592,144.74995
T20230008298,2023-04-08,11:16:00,-37.828394,144.922033
T20230008300,2023-04-08,12:30:00,-37.727397,144.78064
T20230008474,2023-04-08,10:00:00,-37.462679,146.113918
T20230008459,2023-04-08,23:55:00,-37.841306,145.010746
T20230008282,2023-04-08,10:25:00,-37.881799,144.995729
T20230008499,2023-04-08,21:00:00,-37.814616,144.95416
T20230008281,2023-04-08,08:31:00,-36.735691,144.132975
T20230008477,2023-04-08,12:10:00,-37.747124,145.021399
T20230008355,2023-04-08,19:44:00,-37.828472,145.031855
T20230009843,2023-04-09,19:45:00,-37.683915,144.913748
T20230008366,2023-04-09,15:54:00,-37.433854,143.400851
T20230008403,2023-04-09,12:30:00,-36.921675,147.064742
T20230008383,2023-04-09,23:10:00,-37.851211,145.026897
T20230008382,2023-04-09,19:12:00,-36.382821,146.30268
T20230008381,2023-04-09,14:00:00,-37.588922,144.905914
T20230008380,2023-04-09,20:20:00,-38.031242,145.29783
T20230008378,2023-04-09,20:20:00,-37.837657,145.285529
T20230008377,2023-04-09,20:00:00,-37.928852,145.264966
T20230008375,2023-04-09,17:40:00,-38.358856,146.188091
T20230008372,2023-04-09,16:42:00,-37.813353,144.636923
T20230008369,2023-04-09,16:17:00,-38.118293,145.323607
T20230008735,2023-04-09,16:00:00,-36.734607,146.944167
T20230008428,2023-04-09,19:15:00,-38.089565,145.878548
T20230010104,2023-04-09,01:30:00,-37.822032,144.974007
T20230008359,2023-04-09,14:22:00,-38.145204,145.119954
T20230008347,2023-04-09,10:50:00,-38.366143,145.826007
T20230008333,2023-04-09,03:22:00,-37.670004,144.955421
T20230008331,2023-04-09,00:27:00,-37.721396,144.963306
T20230008327,2023-04-09,01:00:00,-37.955279,145.219115
T20230010897,2023-04-09,11:30:00,-36.72519,144.792536
T20230008386,2023-04-09,23:00:00,-38.332192,144.987953
T20230008350,2023-04-09,12:16:00,-37.749861,144.831902
T20230008358,2023-04-09,14:45:00,-38.005792,145.189862
T20230008384,2023-04-09,18:56:00,-37.906645,144.646005
T20230013140,2023-04-09,16:00:00,-35.36559,143.526531
T20230008741,2023-04-09,19:30:00,-37.68443,144.88323
T20230008368,2023-04-09,14:55:00,-37.786383,143.701212
T20230008334,2023-04-09,03:10:00,-37.849503,144.97787
T20230009858,2023-04-09,13:30:00,-37.653032,145.519382
T20230008360,2023-04-09,14:35:00,-37.855469,145.113591
T20230012365,2023-04-10,14:00:00,-37.093717,142.62856
T20230008504,2023-04-10,14:20:00,-37.829064,144.917588
T20230008412,2023-04-10,12:40:00,-37.694646,145.060196
T20230008404,2023-04-10,10:05:00,-38.472131,145.474846
T20230013624,2023-04-10,14:50:00,-38.223533,145.308113
T20230008401,2023-04-10,11:05:00,-37.79849,145.139992
T20230008485,2023-04-10,13:15:00,-37.833566,144.910965
T20230009915,2023-04-10,14:00:00,-37.603729,144.283098
T20230008624,2023-04-10,11:00:00,-38.032172,145.202071
T20230008398,2023-04-10,09:25:00,-37.809117,144.986444
T20230008394,2023-04-10,06:17:00,-37.733915,145.08069
T20230008454,2023-04-10,23:30:00,-37.303471,145.462398
T20230008444,2023-04-10,23:35:00,-37.842419,144.740263
T20230008443,2023-04-10,21:58:00,-38.411318,145.527665
T20230008440,2023-04-10,19:20:00,-37.570454,144.936248
T20230008389,2023-04-10,02:42:00,-37.903756,145.279762
T20230008433,2023-04-10,19:46:00,-37.693527,145.093166
T20230008431,2023-04-10,16:04:00,-37.566486,143.859408
T20230008430,2023-04-10,16:40:00,-37.69912,144.780591
T20230008429,2023-04-10,16:41:00,-37.716484,144.599971
T20230009311,2023-04-10,18:45:00,-37.783399,145.017384
T20230008423,2023-04-10,16:11:00,-36.334154,146.687811
T20230008417,2023-04-10,12:38:00,-37.681854,144.919984
T20230008415,2023-04-10,11:30:00,-37.579277,149.01369
T20230014237,2023-04-11,16:45:00,-36.244939,146.514209
T20230008501,2023-04-11,05:30:00,-38.058255,145.460478
T20230008501,2023-04-11,05:30:00,-38.058255,145.460478
T20230008655,2023-04-11,08:00:00,-37.998211,145.315095
T20230008489,2023-04-11,08:35:00,-37.547898,144.879422
T20230008488,2023-04-11,11:11:00,-37.774371,145.114103
T20230011000,2023-04-11,15:14:00,-37.860442,144.724941
T20230008468,2023-04-11,09:00:00,-37.537722,149.014775
T20230008467,2023-04-11,11:17:00,-38.267869,145.195649
T20230008467,2023-04-11,11:17:00,-38.267869,145.195649
T20230008465,2023-04-11,10:25:00,-37.762162,144.861983
T20230008453,2023-04-11,07:41:00,-38.214112,145.044737
T20230008452,2023-04-11,05:45:00,-38.09329,145.331997
T20230008450,2023-04-11,01:00:00,-36.839408,144.690136
T20230009086,2023-04-11,23:40:00,-37.691722,144.958579
T20230009019,2023-04-11,11:30:00,-37.473926,144.498602
T20230008665,2023-04-11,19:05:00,-37.775651,144.885576
T20230008460,2023-04-11,07:30:00,-37.821348,145.213356
T20230008497,2023-04-11,14:25:00,-38.252925,144.370741
T20230008496,2023-04-11,14:32:00,-36.246821,146.821931
T20230008490,2023-04-11,13:45:00,-37.582255,143.840819
