datetime_AEST,datetime_local,location_id,location_name,BPM2.5
2021-01-06 17:00:00,2021-01-06 18:00:00,10239,Melbourne CBD,1.067
2021-01-06 18:00:00,2021-01-06 19:00:00,10239,Melbourne CBD,5.083
2021-01-06 19:00:00,2021-01-06 20:00:00,10239,Melbourne CBD,4.617
2021-01-06 20:00:00,2021-01-06 21:00:00,10239,Melbourne CBD,1.733
2021-01-06 21:00:00,2021-01-06 22:00:00,10239,Melbourne CBD,1.983
2021-01-06 22:00:00,2021-01-06 23:00:00,10239,Melbourne CBD,10.95
2021-01-06 23:00:00,2021-01-07 00:00:00,10239,Melbourne CBD,-0.717
2021-01-07 00:00:00,2021-01-07 01:00:00,10239,Melbourne CBD,3.217
2021-01-07 01:00:00,2021-01-07 02:00:00,10239,Melbourne CBD,7.3
2021-01-07 02:00:00,2021-01-07 03:00:00,10239,Melbourne CBD,10.583
2021-01-07 03:00:00,2021-01-07 04:00:00,10239,Melbourne CBD,10.433
2021-01-07 04:00:00,2021-01-07 05:00:00,10239,Melbourne CBD,3.717
2021-01-07 05:00:00,2021-01-07 06:00:00,10239,Melbourne CBD,3.6
2021-01-07 06:00:00,2021-01-07 07:00:00,10239,Melbourne CBD,5.6
2021-01-07 07:00:00,2021-01-07 08:00:00,10239,Melbourne CBD,3.233
2021-01-07 08:00:00,2021-01-07 09:00:00,10239,Melbourne CBD,7.95
2021-01-07 09:00:00,2021-01-07 10:00:00,10239,Melbourne CBD,4.317
2021-01-07 10:00:00,2021-01-07 11:00:00,10239,Melbourne CBD,1.55
2021-01-07 11:00:00,2021-01-07 12:00:00,10239,Melbourne CBD,1.017
2021-01-07 12:00:00,2021-01-07 13:00:00,10239,Melbourne CBD,6.4
2021-01-07 13:00:00,2021-01-07 14:00:00,10239,Melbourne CBD,7.167
2021-01-07 14:00:00,2021-01-07 15:00:00,10239,Melbourne CBD,2.233
2021-01-07 15:00:00,2021-01-07 16:00:00,10239,Melbourne CBD,6.067
2021-01-07 16:00:00,2021-01-07 17:00:00,10239,Melbourne CBD,2.733
2021-01-07 17:00:00,2021-01-07 18:00:00,10239,Melbourne CBD,11.65
2021-01-07 18:00:00,2021-01-07 19:00:00,10239,Melbourne CBD,6.633
2021-01-07 19:00:00,2021-01-07 20:00:00,10239,Melbourne CBD,1.417
2021-01-07 20:00:00,2021-01-07 21:00:00,10239,Melbourne CBD,3.75
2021-01-07 21:00:00,2021-01-07 22:00:00,10239,Melbourne CBD,1.65
2021-01-07 22:00:00,2021-01-07 23:00:00,10239,Melbourne CBD,3.25
2021-01-07 23:00:00,2021-01-08 00:00:00,10239,Melbourne CBD,3.983
2021-01-08 00:00:00,2021-01-08 01:00:00,10239,Melbourne CBD,4.767
2021-01-08 01:00:00,2021-01-08 02:00:00,10239,Melbourne CBD,6.933
2021-01-08 02:00:00,2021-01-08 03:00:00,10239,Melbourne CBD,7.083
2021-01-08 03:00:00,2021-01-08 04:00:00,10239,Melbourne CBD,4.533
2021-01-08 04:00:00,2021-01-08 05:00:00,10239,Melbourne CBD,2.933
2021-01-08 05:00:00,2021-01-08 06:00:00,10239,Melbourne CBD,1.017
2021-01-08 06:00:00,2021-01-08 07:00:00,10239,Melbourne CBD,3.467
2021-01-08 07:00:00,2021-01-08 08:00:00,10239,Melbourne CBD,4.7
2021-01-08 08:00:00,2021-01-08 09:00:00,10239,Melbourne CBD,12.133
2021-01-08 09:00:00,2021-01-08 10:00:00,10239,Melbourne CBD,7.65
2021-01-08 10:00:00,2021-01-08 11:00:00,10239,Melbourne CBD,10.517
2021-01-08 11:00:00,2021-01-08 12:00:00,10239,Melbourne CBD,2.383
2021-01-08 12:00:00,2021-01-08 13:00:00,10239,Melbourne CBD,6.517
2021-01-08 13:00:00,2021-01-08 14:00:00,10239,Melbourne CBD,5.933
2021-01-08 14:00:00,2021-01-08 15:00:00,10239,Melbourne CBD,6.933
2021-01-08 15:00:00,2021-01-08 16:00:00,10239,Melbourne CBD,6.717
2021-01-08 16:00:00,2021-01-08 17:00:00,10239,Melbourne CBD,-3.433
2021-01-08 17:00:00,2021-01-08 18:00:00,10239,Melbourne CBD,4.6
2021-01-08 18:00:00,2021-01-08 19:00:00,10239,Melbourne CBD,6.617
2021-01-08 19:00:00,2021-01-08 20:00:00,10239,Melbourne CBD,3.7
2021-01-08 20:00:00,2021-01-08 21:00:00,10239,Melbourne CBD,8.05
2021-01-08 21:00:00,2021-01-08 22:00:00,10239,Melbourne CBD,6.1
2021-01-08 22:00:00,2021-01-08 23:00:00,10239,Melbourne CBD,8.717
2021-01-08 23:00:00,2021-01-09 00:00:00,10239,Melbourne CBD,4.967
2021-01-09 00:00:00,2021-01-09 01:00:00,10239,Melbourne CBD,6.617
2021-01-09 01:00:00,2021-01-09 02:00:00,10239,Melbourne CBD,5.133
2021-01-09 02:00:00,2021-01-09 03:00:00,10239,Melbourne CBD,2.033
2021-01-09 03:00:00,2021-01-09 04:00:00,10239,Melbourne CBD,6.033
2021-01-09 04:00:00,2021-01-09 05:00:00,10239,Melbourne CBD,6.683
2021-01-09 05:00:00,2021-01-09 06:00:00,10239,Melbourne CBD,7.717
2021-01-09 06:00:00,2021-01-09 07:00:00,10239,Melbourne CBD,11.917
2021-01-09 07:00:00,2021-01-09 08:00:00,10239,Melbourne CBD,6.317
2021-01-09 08:00:00,2021-01-09 09:00:00,10239,Melbourne CBD,6.517
2021-01-09 09:00:00,2021-01-09 10:00:00,10239,Melbourne CBD,-0.55
2021-01-09 10:00:00,2021-01-09 11:00:00,10239,Melbourne CBD,4.133
2021-01-09 11:00:00,2021-01-09 12:00:00,10239,Melbourne CBD,10.033
2021-01-09 12:00:00,2021-01-09 13:00:00,10239,Melbourne CBD,13.283
2021-01-09 13:00:00,2021-01-09 14:00:00,10239,Melbourne CBD,6.533
2021-01-09 14:00:00,2021-01-09 15:00:00,10239,Melbourne CBD,12.683
2021-01-09 15:00:00,2021-01-09 16:00:00,10239,Melbourne CBD,12.233
