datetime_AEST,datetime_local,location_id,location_name,BPM2.5,CO,DBT,NO2,O3,PM10,Sigma05,SWD,SWS,VWD,VWS
2021-01-05 02:00:00,2021-01-05 03:00:00,10003,Footscray,,0.102,16.733,1.5,12.389,2.411,16.067,168.322,4.263,167.566,4.105
2021-01-05 03:00:00,2021-01-05 04:00:00,10003,Footscray,,0.101,16.727,1.391,12.418,5.051,17.732,170.496,4.083,169.607,3.912
2021-01-05 04:00:00,2021-01-05 05:00:00,10003,Footscray,,0.099,16.824,2.296,11.188,5.85,15.61,165.568,4.635,164.726,4.474
2021-01-05 05:00:00,2021-01-05 06:00:00,10003,Footscray,,0.104,16.833,2.917,10.351,6.8,16.576,163.802,4.477,163.144,4.326
2021-01-05 06:00:00,2021-01-05 07:00:00,10003,Footscray,,0.11,16.907,3.86,9.409,7.023,16.143,163.083,4.967,161.816,4.792
2021-01-05 07:00:00,2021-01-05 08:00:00,10003,Footscray,,0.121,17.151,3.742,10.011,8.262,15.479,163.598,5.323,162.849,5.149
2021-01-05 08:00:00,2021-01-05 09:00:00,10003,Footscray,,0.138,17.223,3.431,9.913,11.356,16.835,169.441,4.646,169.051,4.47
2021-01-05 09:00:00,2021-01-05 10:00:00,10003,Footscray,,0.138,17.723,3.232,10.621,7.954,16.545,169.56,4.608,169.066,4.431
2021-01-05 10:00:00,2021-01-05 11:00:00,10003,Footscray,,0.141,18.082,3.152,10.632,10.218,17.363,165.693,4.852,164.836,4.65
2021-01-05 11:00:00,2021-01-05 12:00:00,10003,Footscray,,0.147,18.579,3.124,11.031,14.832,15.484,168.529,5.15,167.582,4.959
2021-01-05 12:00:00,2021-01-05 13:00:00,10003,Footscray,,0.16,18.406,2.909,11.617,11.422,17.071,173.601,4.463,172.962,4.262
2021-01-05 13:00:00,2021-01-05 14:00:00,10003,Footscray,,0.161,18.319,3.51,10.799,9.031,16.609,169.222,4.887,168.759,4.702
2021-01-05 14:00:00,2021-01-05 15:00:00,10003,Footscray,,0.177,17.901,3.101,11.664,27.014,16.682,180.735,4.515,180.347,4.328
2021-01-05 15:00:00,2021-01-05 16:00:00,10003,Footscray,,0.173,18.924,2.774,11.341,3.653,15.376,179.228,5.158,179.151,4.978
2021-01-05 16:00:00,2021-01-05 17:00:00,10003,Footscray,,0.153,18.973,1.961,11.678,12.723,16.851,183.743,5.11,183.524,4.9
2021-01-05 17:00:00,2021-01-05 18:00:00,10003,Footscray,,0.15,18.713,2.283,11.107,11.874,15.72,185.856,4.796,185.306,4.612
2021-01-05 18:00:00,2021-01-05 19:00:00,10003,Footscray,,0.161,18.359,2.85,11.553,10.53,15.92,177.561,4.275,177.197,4.101
2021-01-05 19:00:00,2021-01-05 20:00:00,10003,Footscray,,0.151,18.006,2.66,12.137,14.525,17.843,177.799,3.743,177.77,3.54
2021-01-05 20:00:00,2021-01-05 21:00:00,10003,Footscray,,0.163,17.562,2.912,10.299,18.823,14.886,190.932,3.822,190.877,3.703
2021-01-05 21:00:00,2021-01-05 22:00:00,10003,Footscray,,0.164,17.216,2.374,10.992,12.407,14.95,188.524,4.261,188.48,4.128
2021-01-05 22:00:00,2021-01-05 23:00:00,10003,Footscray,,0.16,16.968,1.882,11.889,9.449,14.823,179.799,4.477,178.99,4.335
2021-01-05 23:00:00,2021-01-06 00:00:00,10003,Footscray,,0.154,16.63,1.562,11.915,8.309,15.841,177.67,4.193,177.521,4.044
2021-01-06 00:00:00,2021-01-06 01:00:00,10003,Footscray,,,16.521,,,4.532,16.616,180.51,3.824,180.113,3.677
2021-01-06 01:00:00,2021-01-06 02:00:00,10003,Footscray,,0.06,16.06,1.237,12.046,11.233,13.422,193.629,4.495,193.775,4.357
2021-01-06 02:00:00,2021-01-06 03:00:00,10003,Footscray,,0.08,14.922,3.152,9.397,12.363,13.093,203.06,4.254,203.005,4.14
2021-01-06 03:00:00,2021-01-06 04:00:00,10003,Footscray,,0.087,14.004,3.9,8.98,3.905,13.186,197.303,4.023,197.065,3.896
2021-01-06 04:00:00,2021-01-06 05:00:00,10003,Footscray,,0.091,14.546,3.982,9.969,3.59,13.575,194.85,4.082,194.58,3.97
2021-01-06 05:00:00,2021-01-06 06:00:00,10003,Footscray,,0.099,14.849,4.585,10.104,8.986,14.223,194.76,4.073,194.948,3.954
2021-01-06 06:00:00,2021-01-06 07:00:00,10003,Footscray,,0.103,15.219,4.749,10.426,7.802,14.502,193.752,3.833,193.541,3.715
2021-01-06 07:00:00,2021-01-06 08:00:00,10003,Footscray,,0.125,15.536,4.677,11.128,6.196,13.851,194.887,4.079,194.946,3.96
